OTUID,out36-1,out36-11,out36-13,out36-15,out36-17,out36-18,out36-2,out36-20,out36-21,out36-23,out36-24,out36-26,out36-28,out36-5,out36-7,out36-9,51-1,51-10,51-11,51-12,51-13,51-14,51-15,51-16,51-17,51-18,51-19,51-2,51-20,51-21,51-22,51-23,51-24,51-25,51-26,51-27,51-28,51-29,51-3,51-30,51-31,51-32,51-33,51-34,51-35,51-36,51-37,51-38,51-39,51-4,51-40,51-41,51-42,51-43,51-44,51-45,51-46,51-47,51-48,51-49,51-5,51-50,51-51,51-52,51-53,51-54,51-55,51-56,51-6,51-7,51-75,51-8,51-9,52-1,52-10,52-11,52-12,52-13,52-14,52-15,52-16,52-17,52-18,52-19,52-2,52-20,52-21,52-22,52-23,52-24,52-25,52-26,52-27,52-28,52-29,52-3,52-30,52-31,52-32,52-33,52-34,52-35,52-36,52-37,52-38,52-39,52-4,52-40,52-41,52-42,52-43,52-44,52-45,52-46,52-47,52-48,52-49,52-5,52-50,52-51,52-52,52-53,52-54,52-55,52-56,52-6,52-7,52-8,52-9
ASV_1,0,0,230,4877,22925,85684,0,63828,75476,3823,4567,0,66499,0,0,0,0,0,0,0,0,0,0,0,0,92,47,0,0,0,0,0,0,0,0,0,0,0,0,0,541,630,0,856,0,0,0,0,0,0,676,846,0,256,523,336,0,952,751,47,0,0,446,1167,2504,0,1541,2645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3418,3596,685,0,999,0,0,0,0,316,2162,0,5411,418,2600,1975,2625,840,0,0,1417,0,5357,966,1723,1357,4668,0,0,0,0
ASV_2,0,11,0,0,0,0,0,1804,0,0,0,0,0,38404,76443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,0
ASV_3,0,0,0,94270,6736,6768,0,0,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,930,0,0,0,0,0,0,0,167,42,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,477,0,93,208,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0
ASV_4,0,0,0,880,4477,1294,417,9864,18589,2471,2886,8,4169,3911,10456,450,0,0,0,234,0,0,0,0,463,153,238,158,0,0,0,0,0,55,0,0,193,76,255,220,0,0,527,133,0,0,0,0,0,0,839,32,0,0,730,310,207,253,235,595,0,85,0,394,190,0,354,291,971,0,0,0,0,230,0,0,760,0,1231,0,0,1219,341,2563,0,303,0,0,0,0,0,0,27,0,0,488,0,0,1061,1464,0,0,158,0,0,0,0,0,671,0,495,571,742,371,890,324,0,907,0,193,1355,1535,0,547,101,0,0,0,0
ASV_5,0,0,0,466,13881,0,0,15345,31169,3857,2645,0,4016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,962,0,0,0,0,0,0,140,0,0,174,0,0,0,0,251,0,0,206,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2303,776,694,0,179,0,0,0,0,0,0,0,610,0,63,0,126,544,0,0,622,0,0,945,0,399,0,0,0,0,0
ASV_6,0,0,0,1554,2299,6222,0,18892,19367,1079,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,1989,0,0,0,0,0,0,0,467,241,0,0,313,0,0,104,213,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,1289,708,0,0,0,0,0,0,0,1303,0,6866,236,1303,1033,193,0,0,0,0,0,0,0,0,661,0,0,0,0,0
ASV_7,0,0,0,597,5350,5490,0,3348,46929,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2287,0,0,0,0,0,0,0,0,34,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,70,37,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_8,30632,0,0,343,0,0,1205,0,0,0,0,0,0,3035,0,1844,0,0,0,0,0,0,0,0,0,187,0,0,0,448,254,0,0,0,0,0,146,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,369,0,0,0,1186,0,90,0,0,159,0,295,371,0,0,297,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,0,0
ASV_9,0,0,0,0,2577,7481,0,8416,21539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,64,0,97,50,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,316,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_10,38838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
