OTUID,Genus,Species,Katie's notes,Pete's notes,OTUID,NCBI_top_match,NCBI_percent_identity,Local_database_top_match,Local_database_percent_identity
ASV_99,Lamprologus,callipterus,Clear; 12 ASVs,,ASV_99,Lamprologus callipterus,100,Neolamprologus_cancellatus_LJD1,99.502
ASV_98,Lepidiolamprologus ,sp,"Clade of several Lepidiolamprologus species -- elongatus, profudicola, attenuatus...and also some Neolamprologus species. I don't know what's going on but it seems like a mess. 10 ASVs in this group. ",,ASV_98,Lepidiolamprologus elongatus,100,000000018_U07251.1_Lepidiolamprologus_elongatus__000015958_EF462275.1_Lepidiolamprologus_cf._profundicola_JJD-2007__000015959_EF462276.1_Lepidiolamprologus_cf._profundicola_JJD-2007__000026830_EF679248.1_Lepidiolamprologus_elongatus_,100
ASV_97,,,,,ASV_97,Petrochromis cf. polyodon SK-2009,99.742,Petrochromis_sp_moshi_yellow_LCF8,98.756
ASV_96,,,,,ASV_96,Petrochromis sp. 'Moshi yellow',99.483,Petrochromis_sp_moshi_yellow_LCF8,98.259
ASV_95,Unknown,sp,Cool potentially unknown species with affinity to Chalinochromis; clade of 9 ASVs with no ref among them,,ASV_95,Neolamprologus sp. 'ndobnoi',96.899,Julidochromis_sp_unterfels_JWA2,97.264
ASV_94,,,,,ASV_94,Xenotilapia leptura,95.349,Xenotilapia_longispinis_KAF6,99.751
ASV_93,,,,,ASV_93,Tropheus moorii,98.756,Tropheus_polli_LEF9,99.751
ASV_92,,,,,ASV_92,Simochromis diagramma,99.742,Simochromis_diagramma_AUD8,99.254
ASV_91,,,,,ASV_91,Grammatotria lemairii,97.933,Grammatotria_lemairii_JDD8,99.502
ASV_90,,,,,ASV_90,Petrochromis cf. macrognathus SK-2009,100,Petrochromis_sp_moshi_yellow_LCF8,99.005
ASV_9,,,,,ASV_9,Petrochromis sp. 'Kazumbe',98.966,Petrochromis_sp_kazumbae_KEB4,99.005
ASV_89,Bathybates,fasciatus,no species ID ambiguity; six ASVs in this clade,,ASV_89,Bathybates fasciatus,99.742,Bathybates_fasciatus_GPB2,100
ASV_88,,,,,ASV_88,Lobochilotes labiatus,99.483,Lobochilotes_labiatus_ISE5,98.756
ASV_87,,,,,ASV_87,Petrochromis sp. 'Moshi yellow',100,Petrochromis_sp_moshi_yellow_LCF8,99.751
ASV_85,,,,,ASV_85,Petrochromis sp. 'Moshi yellow',99.742,Petrochromis_sp_moshi_yellow_LCF8,98.507
ASV_84,Oreochromis,tanganicae,clearly distinct clade with 7 ASVs,,ASV_84,Oreochromis tanganicae,99.742,Oreochromis_tanganicae_JAC7,99.751
ASV_83,Neolamprologus,similis,clear; three ASVs,,ASV_83,Neolamprologus similis,99.483,Neolamprologus_similis_KEC2,98.507
ASV_82,Julidochromis,regani,clear,,ASV_82,Julidochromis marlieri,99.742,Julidochromis_regani_KFF4,99.751
ASV_81,Bathybates,fasciatus,no species ID ambiguity; six ASVs in this clade,,ASV_81,Bathybates fasciatus,100,Bathybates_fasciatus_GPB2,99.751
ASV_80,,,,,ASV_80,Cyprichromis cf. leptosoma 'jumbo tricolor',98.191,Cyprichromis_pavo_JEB4,98.01
ASV_8,Oreochromis,tanganicae,clearly distinct clade with 7 ASVs,,ASV_8,Oreochromis tanganicae,100,Oreochromis_tanganicae_JAC7,100
ASV_79,Tanganicodus,sp,"Eretmodine clade. Unresolvable by species, likely due to hybridization",,ASV_79,Eretmodus cyanostictus,99.742,Eretmodus_marksmithi_JXF4,99.751
ASV_78,,,,,ASV_78,Xenotilapia boulengeri,96.875,Xenotilapia_sp_kilesa_Bel03,99.751
ASV_77,,,,,ASV_77,Petrochromis sp. 'Kazumbe',99.742,Petrochromis_sp_kazumbae_KEB4,99.751
ASV_76,,,,,ASV_76,Perissodus microlepis,100,000026837_EF679255.1_Perissodus_microlepis_,100
ASV_75,Tanganicodus,sp,"Eretmodine clade. Unresolvable by species, likely due to hybridization",,ASV_75,Eretmodus cyanostictus,100,Eretmodus_marksmithi_JXF4,100
ASV_74,,,,,ASV_74,Paracyprichromis brieni,99.742,Paracyprichromis_brieni_JXI4,100
ASV_73,,,,,ASV_73,Limnotilapia dardennii,99.742,Limnotilapia_dardennii_AWI6,99.502
